history,horizon,station,seed,arm,sse,element_count,rmse,mae,smape_percent
24,1,9046,7003,st_sparse_station_bias_delta_forecast,160241.68552885082,1728,9.629769306856222,5.450454204170792,15.793516477448433
24,1,9046,7004,degraded_patchtst,166474.87850489988,1728,9.815275277057168,5.401224321789211,15.41869864405012
24,1,9046,7004,st_sparse_station_bias_delta_forecast,163065.54523554724,1728,9.714249068984952,5.440654792167522,15.75798012350601
24,1,9046,7005,degraded_patchtst,166882.2797303535,1728,9.827278024075287,5.472354755357459,15.46757342996113
24,1,9046,7005,st_sparse_station_bias_delta_forecast,160122.07199622804,1728,9.626174531397623,5.423782561664228,15.643405375687061
168,6,9020,7001,degraded_patchtst,1395419.471252224,9474,12.136283116155138,8.198136982546341,32.32526759180864
168,6,9020,7001,st_sparse_station_bias_delta_forecast,1366765.970627185,9474,12.011033782022965,8.328247534566875,32.58434031427454
168,6,9020,7002,degraded_patchtst,1420602.1308209621,9474,12.245303136056544,8.273438114442477,32.02379656761381
168,6,9020,7002,st_sparse_station_bias_delta_forecast,1404045.8961656238,9474,12.173738316492612,8.420882902695002,32.90003984299703
168,6,9020,7003,degraded_patchtst,1467017.4238008526,9474,12.443740499667218,8.52298067792297,32.883457434222436
168,6,9020,7003,st_sparse_station_bias_delta_forecast,1470698.2528460098,9474,12.45934174132772,8.535272196825481,32.76219445227068
168,6,9020,7004,degraded_patchtst,1461230.184399718,9474,12.419171579246687,8.572911056758533,33.63822716358746
168,6,9020,7004,st_sparse_station_bias_delta_forecast,1442371.8126452197,9474,12.338771541716294,8.487021096929961,32.90184295457496
168,6,9020,7005,degraded_patchtst,1411501.0591052608,9474,12.206015411838393,8.26708298663638,32.21667002724205
168,6,9020,7005,st_sparse_station_bias_delta_forecast,1410664.568375846,9474,12.202398081257877,8.276112518004533,31.810201589634385
168,6,9026,7001,degraded_patchtst,1777510.9638039733,9474,13.69744148714069,9.210020077185765,32.654598752091566
168,6,9026,7001,st_sparse_station_bias_delta_forecast,1718650.7514290018,9474,13.468744855038608,8.99990192877987,30.73205093190518
168,6,9026,7002,degraded_patchtst,1816282.7186215553,9474,13.84602256962939,9.300735449876518,31.79903177319719
168,6,9026,7002,st_sparse_station_bias_delta_forecast,1743023.9620960555,9474,13.5639127838551,9.238933563836396,31.595799355515254
168,6,9026,7003,degraded_patchtst,1787440.6180801708,9474,13.735647000805375,9.16439706916318,31.04686076692822
168,6,9026,7003,st_sparse_station_bias_delta_forecast,1723973.3953510136,9474,13.489585015082724,9.074263726907464,30.588364894626256
168,6,9026,7004,degraded_patchtst,1709548.5638239929,9474,13.433031434708232,8.93397389501113,30.211062436087182
168,6,9026,7004,st_sparse_station_bias_delta_forecast,1693968.623034911,9474,13.37168048664147,8.914922364130033,29.947205879936874
168,6,9026,7005,degraded_patchtst,1722572.0621636212,9474,13.484101390396141,8.945380720026211,30.896276208814257
168,6,9026,7005,st_sparse_station_bias_delta_forecast,1664914.6640973021,9474,13.2565129081356,8.909162641351728,30.268370376886487
168,6,9032,7001,degraded_patchtst,2071141.1735724364,9474,14.78557303944469,9.14347525772375,23.831974186402068
168,6,9032,7001,st_sparse_station_bias_delta_forecast,2042689.955487457,9474,14.683667323811255,9.252845975550917,24.04727022921393
168,6,9032,7002,degraded_patchtst,2104971.880097343,9474,14.905840133881332,9.261977313313274,24.199789881103147
168,6,9032,7002,st_sparse_station_bias_delta_forecast,2003723.2459475843,9474,14.542938853726513,9.097953705186704,23.839671762608404
168,6,9032,7003,degraded_patchtst,2100340.0876565753,9474,14.88943165366054,9.139986310197452,23.69431606994196
168,6,9032,7003,st_sparse_station_bias_delta_forecast,2032814.941854064,9474,14.648131562435909,9.059615124321347,23.497760598930657
168,6,9032,7004,degraded_patchtst,2030298.4724384241,9474,14.639062121501286,9.091042773291258,23.80260726845088
168,6,9032,7004,st_sparse_station_bias_delta_forecast,1989830.420619847,9474,14.492434387916216,9.096834107846531,23.867561003634005
168,6,9032,7005,degraded_patchtst,2055739.9569464424,9474,14.73049694732751,9.073945477513641,23.796309171183996
168,6,9032,7005,st_sparse_station_bias_delta_forecast,1978021.093088483,9474,14.44936524244918,9.017388880340917,23.529907459820972
168,6,9033,7001,degraded_patchtst,2551561.8996058283,9474,16.41104982713581,10.06512910594461,28.11632771699116
168,6,9033,7001,st_sparse_station_bias_delta_forecast,2265579.369468739,9474,15.464039504030588,9.296386171348592,25.33290147871204
168,6,9033,7002,degraded_patchtst,2569826.696803479,9474,16.46968254038786,10.319456860463982,27.780102722963644
168,6,9033,7002,st_sparse_station_bias_delta_forecast,2325899.3848813525,9474,15.668548697636286,9.680431685468832,26.131038006880207
168,6,9033,7003,degraded_patchtst,2583699.013833954,9474,16.514075641820643,10.341583866999576,28.173596545220768
