history,horizon,station,seed,quantile_bin,count,base_smape_percent,spatial_smape_percent,smape_change_percent_points,base_rmse,spatial_rmse,base_mae,spatial_mae
24,1,9039,7005,2,283,8.768493129918788,8.622315632559898,-0.14617749735888985,4.2212937254643945,4.226095562598384,2.203223299221942,2.186968752857653
24,1,9039,7005,3,513,7.667338947189445,7.515084813437493,-0.15225413375195185,3.6017212126101508,3.581245921405088,2.54617751643904,2.515957365723846
24,1,9039,7005,4,319,9.084407216681187,8.961566902737573,-0.12284031394361428,6.012075460368276,5.977062616614288,4.108486899014177,4.076782860352328
24,1,9039,7005,5,335,9.06293218640557,8.901974902944104,-0.16095728346146565,9.889348823479315,9.786595861601446,6.6145445524756585,6.519852140056553
24,1,9045,7001,1,388,37.624485810911374,36.622264411955854,-1.0022213989555198,9.189905538199042,9.047869496153503,6.17792986840317,6.097250962994762
24,1,9045,7001,2,427,29.495542631391338,27.96489590813215,-1.5306467232591885,12.56312946306743,11.939895309850662,8.320974926200348,7.943497852084229
24,1,9045,7001,3,373,28.218123069745626,26.784447997953066,-1.4336750717925604,13.929316345599844,13.365127784709768,10.380923606115756,9.942988955623024
24,1,9045,7001,4,291,24.84351720210617,24.502925508125863,-0.34059169398030775,18.50849117722791,17.995832185639156,12.31814653193418,12.082043808350448
24,1,9045,7001,5,249,23.40447852777197,23.436655035216027,0.03217650744405631,24.493061809652055,24.42973984166079,16.56469829972968,16.637628723818615
24,1,9045,7002,1,388,36.202097648541596,35.56991362016955,-0.6321840283720448,9.017660483854913,8.94674678436647,6.08533022084187,5.970433249915998
24,1,9045,7002,2,427,27.50773325768247,27.303017675174857,-0.2047155825076139,12.243101170979784,11.913599936665126,7.960655708223651,7.814328035091069
24,1,9045,7002,3,373,26.70554066787087,26.98364868596216,0.27810801809128805,13.601335523015132,13.49086147946361,9.990659483636033,10.029821487917657
24,1,9045,7002,4,291,23.991259958386056,24.53336863674972,0.5421086783636646,18.087212128132183,17.96862258727413,12.00946963202093,12.132585394423442
24,1,9045,7002,5,249,22.978178035365822,23.55601621959891,0.5778381842330873,24.125200129811688,24.464045079459936,16.433060695847356,16.70978149352782
