history,horizon,station,seed,arm,peak_threshold_ugm3,coverage_count,sse,element_count,rmse,mae,smape_percent
24,1,9026,7004,st_sparse_station_bias_delta_forecast,74.0,74,35301.70237461197,74,21.841475043809446,14.827305200937632,15.689755399828808
24,1,9026,7005,degraded_patchtst,74.0,74,35816.737838752815,74,22.000226607786498,15.010828739887959,16.070448666069005
24,1,9026,7005,st_sparse_station_bias_delta_forecast,74.0,74,35345.32910717685,74,21.85496699904662,14.816128034849424,15.762271279868282
24,1,9032,7001,degraded_patchtst,80.0,97,26482.10013410439,97,16.52305485038118,12.240779640748329,11.922470922809724
24,1,9032,7001,st_sparse_station_bias_delta_forecast,80.0,97,26841.60391119118,97,16.634829908801425,12.504814973811513,12.09031224480267
24,1,9032,7002,degraded_patchtst,80.0,97,23737.100146452314,97,15.643285225419827,10.768722691486792,10.447436701536242
24,1,9032,7002,st_sparse_station_bias_delta_forecast,80.0,97,23602.654305803473,97,15.598920893751604,10.875449426395377,10.589509225202946
24,1,9032,7003,degraded_patchtst,80.0,97,24083.508271029103,97,15.757017180386027,11.387283797116623,11.043658077453756
24,1,9032,7003,st_sparse_station_bias_delta_forecast,80.0,97,23991.819746593246,97,15.726994242480766,11.607436032639336,11.145331402762679
24,1,9032,7004,degraded_patchtst,80.0,97,25635.75424071419,97,16.256879349768507,12.036337547695513,11.704200684684428
24,1,9032,7004,st_sparse_station_bias_delta_forecast,80.0,97,26228.92978600238,97,16.443884516744347,12.40941328854905,11.920833873816022
24,1,9032,7005,degraded_patchtst,80.0,97,25939.723435148742,97,16.352976158129064,11.904530554702601,11.559305398353533
24,1,9032,7005,st_sparse_station_bias_delta_forecast,80.0,97,26012.7130884676,97,16.375967143381462,12.133167227518927,11.65073557695921
24,1,9033,7001,degraded_patchtst,79.0,97,63895.80454728186,97,25.665533980575205,17.346690659670486,17.209597665523372
24,1,9033,7001,st_sparse_station_bias_delta_forecast,79.0,97,58775.29843389185,97,24.615663949802506,16.449856315691445,16.27078671074203
24,1,9033,7002,degraded_patchtst,79.0,97,70754.8766823277,97,27.007993601423124,17.080221628405383,16.912937559825806
24,1,9033,7002,st_sparse_station_bias_delta_forecast,79.0,97,65416.06548145106,97,25.96906674572318,16.283549869183414,16.05166809458139
24,1,9033,7003,degraded_patchtst,79.0,97,75607.13275793426,97,27.918720903471208,17.71265366151161,17.54424373917406
24,1,9033,7003,st_sparse_station_bias_delta_forecast,79.0,97,70807.93792348981,97,27.018118762772442,16.95553392233308,16.682207089312815
24,1,9033,7004,degraded_patchtst,79.0,97,68321.96892244818,97,26.539596739151584,17.262452862926366,17.121194079940498
24,1,9033,7004,st_sparse_station_bias_delta_forecast,79.0,97,61905.962648912304,97,25.262735412149066,16.24144965102992,15.988312952940612
24,1,9033,7005,degraded_patchtst,79.0,97,73748.20167704337,97,27.573370104841942,17.36796559992525,17.354184041392486
24,1,9033,7005,st_sparse_station_bias_delta_forecast,79.0,97,68272.23276680916,97,26.529935001884535,16.792868820662353,16.68650932001229
24,1,9038,7001,degraded_patchtst,72.0,81,21805.25441388243,81,16.407335913435986,12.417950053273895,14.442763518929667
24,1,9038,7001,st_sparse_station_bias_delta_forecast,72.0,81,20770.46110849199,81,16.013289661523384,11.97310694941768,13.9763060753949
24,1,9038,7002,degraded_patchtst,72.0,81,20294.608895415862,81,15.828794240367758,11.738449803105107,13.474259421818266
24,1,9038,7002,st_sparse_station_bias_delta_forecast,72.0,81,19630.406491417438,81,15.567616947526254,11.649131115571953,13.580939821904373
24,1,9038,7003,degraded_patchtst,72.0,81,21061.094526611487,81,16.12493450139305,12.161241272349416,14.118458168031573
24,1,9038,7003,st_sparse_station_bias_delta_forecast,72.0,81,20214.201317134706,81,15.797406146335554,11.74973753940912,13.706362704586878
24,1,9038,7004,degraded_patchtst,72.0,81,21699.670685921417,81,16.36756453972285,12.464065457567756,14.519881813400875
24,1,9038,7004,st_sparse_station_bias_delta_forecast,72.0,81,20623.517091834874,81,15.956544805233312,12.090174027431159,14.15916966477631
24,1,9038,7005,degraded_patchtst,72.0,81,21318.513669843975,81,16.223178689399845,12.26660970993984,14.262724278937464
24,1,9038,7005,st_sparse_station_bias_delta_forecast,72.0,81,20509.176492540675,81,15.912250305486424,11.887567543689116,13.902488034051114
24,1,9039,7001,degraded_patchtst,67.0,173,28151.931548912995,173,12.756485724069886,8.994251383522343,10.724143549832492
24,1,9039,7001,st_sparse_station_bias_delta_forecast,67.0,173,28092.657814148566,173,12.743049293010513,9.003681182861328,10.722970422940794
24,1,9039,7002,degraded_patchtst,67.0,173,27018.79538099379,173,12.497119987526048,8.523142974500711,10.115466361707456
