task,seed,variant,variable,lag,horizon_step,mean_weight,std_weight
168h_6h,2060,F01,O3,6,2,0.010583476163446903,0.0007084992830641568
168h_6h,2060,F01,O3,6,3,0.006589436903595924,0.0011173586826771498
168h_6h,2060,F01,O3,6,4,0.025208070874214172,0.006816730368882418
168h_6h,2060,F01,O3,6,5,0.010833973996341228,0.0023269164375960827
168h_6h,2060,F01,O3,6,6,0.011902890168130398,0.0025049217510968447
168h_6h,2060,F01,O3,12,1,0.003045780584216118,0.0005402697715908289
168h_6h,2060,F01,O3,12,2,0.0026004125829786062,0.0004922310472466052
168h_6h,2060,F01,O3,12,3,0.043599117547273636,0.018960410729050636
168h_6h,2060,F01,O3,12,4,0.010318195447325706,0.0034471950493752956
168h_6h,2060,F01,O3,12,5,0.005622202064841986,0.0014477672521024942
168h_6h,2060,F01,O3,12,6,0.01338618528097868,0.0036828750744462013
168h_6h,2060,F01,SO2,0,1,0.02102755941450596,0.007778458762913942
168h_6h,2060,F01,SO2,0,2,0.008636008016765118,0.0027440383564680815
168h_6h,2060,F01,SO2,0,3,0.04942263662815094,0.02683699131011963
168h_6h,2060,F01,SO2,0,4,0.03880539536476135,0.021473700180649757
168h_6h,2060,F01,SO2,0,5,0.01653093285858631,0.0030326193664222956
168h_6h,2060,F01,SO2,0,6,0.009306139312684536,0.002731396583840251
168h_6h,2060,F01,SO2,1,1,0.011881697922945023,0.004464300349354744
168h_6h,2060,F01,SO2,1,2,0.04567861557006836,0.012357913888990879
168h_6h,2060,F01,SO2,1,3,0.007217675447463989,0.0030708075501024723
168h_6h,2060,F01,SO2,1,4,0.049360405653715134,0.012781741097569466
168h_6h,2060,F01,SO2,1,5,0.004988958593457937,0.0006383665604516864
168h_6h,2060,F01,SO2,1,6,0.05341239646077156,0.04730746150016785
168h_6h,2060,F01,SO2,2,1,0.0007630353793501854,0.00033918797271326184
168h_6h,2060,F01,SO2,2,2,0.007293540518730879,0.006154707632958889
168h_6h,2060,F01,SO2,2,3,0.04094159975647926,0.025431441143155098
168h_6h,2060,F01,SO2,2,4,0.020540110766887665,0.008205672726035118
168h_6h,2060,F01,SO2,2,5,0.003825793042778969,0.001130074029788375
168h_6h,2060,F01,SO2,2,6,0.0443868525326252,0.010174437426030636
168h_6h,2060,F01,SO2,3,1,0.0009306888096034527,0.00034312770003452897
168h_6h,2060,F01,SO2,3,2,0.007886621169745922,0.007489178795367479
168h_6h,2060,F01,SO2,3,3,0.021473830565810204,0.01310085691511631
168h_6h,2060,F01,SO2,3,4,0.01384522020816803,0.005564936436712742
168h_6h,2060,F01,SO2,3,5,0.003067745128646493,0.00045170847442932427
168h_6h,2060,F01,SO2,3,6,0.031830888241529465,0.009640460833907127
168h_6h,2060,F01,SO2,6,1,0.006514505948871374,0.0024320257361978292
168h_6h,2060,F01,SO2,6,2,0.021429739892482758,0.0052353269420564175
168h_6h,2060,F01,SO2,6,3,0.01910444162786007,0.011438463814556599
168h_6h,2060,F01,SO2,6,4,0.024588653817772865,0.006718176882714033
168h_6h,2060,F01,SO2,6,5,0.006903067231178284,0.0011270607355982065
168h_6h,2060,F01,SO2,6,6,0.019630642607808113,0.00796480756253004
168h_6h,2060,F01,SO2,12,1,0.0015236983308568597,0.000451782630989328
168h_6h,2060,F01,SO2,12,2,0.005822423845529556,0.0026968580204993486
168h_6h,2060,F01,SO2,12,3,0.09711888432502747,0.028797458857297897
168h_6h,2060,F01,SO2,12,4,0.00936431996524334,0.0010834508575499058
168h_6h,2060,F01,SO2,12,5,0.0033893354702740908,0.0005556820542551577
168h_6h,2060,F01,SO2,12,6,0.022906145080924034,0.011211391538381577
168h_6h,2060,F01,temperature,0,1,0.014648874290287495,0.012192395515739918
168h_6h,2060,F01,temperature,0,2,0.03170882537961006,0.0030622812919318676
168h_6h,2060,F01,temperature,0,3,0.03188538923859596,0.005625954829156399
168h_6h,2060,F01,temperature,0,4,0.039486002177000046,0.011309563182294369
168h_6h,2060,F01,temperature,0,5,0.03911231830716133,0.0048279729671776295
168h_6h,2060,F01,temperature,0,6,0.00701436260715127,0.002524737035855651
168h_6h,2060,F01,temperature,1,1,0.005736853927373886,0.0013433947460725904
168h_6h,2060,F01,temperature,1,2,0.16912543773651123,0.01893586851656437
168h_6h,2060,F01,temperature,1,3,0.0048378161154687405,0.000570890901144594
168h_6h,2060,F01,temperature,1,4,0.05284646525979042,0.0036016174126416445
